record,image,iteration,width,height,channels,seams,mode,batch_size,strip_height,energy_s,seam_s,remove_s,total_s
iteration,720x480.png,1,720,480,3,128,dynamic,0,0,0.177817,0.050625,0.023687,0.252129
iteration,720x480.png,2,720,480,3,128,dynamic,0,0,0.177374,0.050416,0.023898,0.251688
iteration,720x480.png,3,720,480,3,128,dynamic,0,0,0.177585,0.050878,0.024105,0.252568
iteration,720x480.png,4,720,480,3,128,dynamic,0,0,0.177377,0.050764,0.024458,0.252599
iteration,720x480.png,5,720,480,3,128,dynamic,0,0,0.177548,0.050516,0.024025,0.252089
image_average,720x480.png,0,720,480,3,128,dynamic,0,0,0.177540,0.050640,0.024035,0.252215
----------------
iteration,1024x768.png,1,1024,768,3,128,dynamic,0,0,0.414781,0.174641,0.051522,0.640945
iteration,1024x768.png,2,1024,768,3,128,dynamic,0,0,0.415187,0.174511,0.050641,0.640338
iteration,1024x768.png,3,1024,768,3,128,dynamic,0,0,0.416897,0.174460,0.050965,0.642322
iteration,1024x768.png,4,1024,768,3,128,dynamic,0,0,0.414724,0.174780,0.051162,0.640666
iteration,1024x768.png,5,1024,768,3,128,dynamic,0,0,0.415223,0.174388,0.051100,0.640710
image_average,1024x768.png,0,1024,768,3,128,dynamic,0,0,0.415362,0.174556,0.051078,0.640996
----------------
iteration,1920x1200.png,1,1920,1200,3,128,dynamic,0,0,1.229686,0.412757,0.130708,1.773151
iteration,1920x1200.png,2,1920,1200,3,128,dynamic,0,0,1.233109,0.407856,0.131485,1.772450
iteration,1920x1200.png,3,1920,1200,3,128,dynamic,0,0,1.229546,0.407098,0.138632,1.775275
iteration,1920x1200.png,4,1920,1200,3,128,dynamic,0,0,1.228900,0.406420,0.136576,1.771896
iteration,1920x1200.png,5,1920,1200,3,128,dynamic,0,0,1.232213,0.407804,0.132236,1.772253
image_average,1920x1200.png,0,1920,1200,3,128,dynamic,0,0,1.230691,0.408387,0.133927,1.773005
----------------
iteration,3840x2160.png,1,3840,2160,3,128,dynamic,0,0,4.496954,1.435274,0.658254,6.590482
iteration,3840x2160.png,2,3840,2160,3,128,dynamic,0,0,4.494210,1.433271,0.661721,6.589202
iteration,3840x2160.png,3,3840,2160,3,128,dynamic,0,0,4.501241,1.435572,0.660333,6.597146
iteration,3840x2160.png,4,3840,2160,3,128,dynamic,0,0,4.497784,1.432923,0.667883,6.598589
iteration,3840x2160.png,5,3840,2160,3,128,dynamic,0,0,4.501510,1.433210,0.659591,6.594311
image_average,3840x2160.png,0,3840,2160,3,128,dynamic,0,0,4.498340,1.434050,0.661556,6.593946
----------------
iteration,7680x4320.png,1,7680,4320,3,128,dynamic,0,0,18.158302,6.727881,2.281753,27.167935
iteration,7680x4320.png,2,7680,4320,3,128,dynamic,0,0,18.153087,6.714797,2.351766,27.219649
iteration,7680x4320.png,3,7680,4320,3,128,dynamic,0,0,18.153593,6.709531,2.294892,27.158016
iteration,7680x4320.png,4,7680,4320,3,128,dynamic,0,0,18.141391,6.714511,2.305234,27.161136
iteration,7680x4320.png,5,7680,4320,3,128,dynamic,0,0,18.150488,6.725125,2.238493,27.114106
image_average,7680x4320.png,0,7680,4320,3,128,dynamic,0,0,18.151372,6.718369,2.294427,27.164168
----------------
overall_average,ALL_IMAGES,0,0,0,0,128,dynamic,0,0,4.894661,1.757200,0.633005,7.284866
