record,image,iteration,width,height,channels,seams,mode,batch_size,strip_height,energy_s,seam_s,remove_s,total_s
iteration,720x480.png,1,720,480,3,128,dynamic,0,0,0.095566,0.089963,0.013707,0.199236
iteration,720x480.png,2,720,480,3,128,dynamic,0,0,0.095477,0.087139,0.013793,0.196408
iteration,720x480.png,3,720,480,3,128,dynamic,0,0,0.095050,0.086810,0.013742,0.195603
iteration,720x480.png,4,720,480,3,128,dynamic,0,0,0.094924,0.086941,0.013712,0.195578
iteration,720x480.png,5,720,480,3,128,dynamic,0,0,0.095611,0.086550,0.013741,0.195902
image_average,720x480.png,0,720,480,3,128,dynamic,0,0,0.095326,0.087481,0.013739,0.196545
----------------
iteration,1024x768.png,1,1024,768,3,128,dynamic,0,0,0.217924,0.178977,0.029524,0.426426
iteration,1024x768.png,2,1024,768,3,128,dynamic,0,0,0.216593,0.175375,0.029227,0.421196
iteration,1024x768.png,3,1024,768,3,128,dynamic,0,0,0.218353,0.174539,0.029269,0.422161
iteration,1024x768.png,4,1024,768,3,128,dynamic,0,0,0.216912,0.176698,0.029305,0.422915
iteration,1024x768.png,5,1024,768,3,128,dynamic,0,0,0.217515,0.175632,0.029433,0.422580
image_average,1024x768.png,0,1024,768,3,128,dynamic,0,0,0.217460,0.176244,0.029352,0.423055
----------------
iteration,1920x1200.png,1,1920,1200,3,128,dynamic,0,0,0.634052,0.366196,0.068444,1.068692
iteration,1920x1200.png,2,1920,1200,3,128,dynamic,0,0,0.633323,0.363036,0.068155,1.064514
iteration,1920x1200.png,3,1920,1200,3,128,dynamic,0,0,0.634001,0.364402,0.068295,1.066698
iteration,1920x1200.png,4,1920,1200,3,128,dynamic,0,0,0.633970,0.363497,0.068295,1.065761
iteration,1920x1200.png,5,1920,1200,3,128,dynamic,0,0,0.633719,0.363160,0.071401,1.068280
image_average,1920x1200.png,0,1920,1200,3,128,dynamic,0,0,0.633813,0.364058,0.068918,1.066789
----------------
iteration,3840x2160.png,1,3840,2160,3,128,dynamic,0,0,2.281360,0.944759,0.332259,3.558377
iteration,3840x2160.png,2,3840,2160,3,128,dynamic,0,0,2.280456,0.939523,0.331825,3.551803
iteration,3840x2160.png,3,3840,2160,3,128,dynamic,0,0,2.285703,0.941263,0.333275,3.560241
iteration,3840x2160.png,4,3840,2160,3,128,dynamic,0,0,2.281876,0.941465,0.334032,3.557372
iteration,3840x2160.png,5,3840,2160,3,128,dynamic,0,0,2.277242,0.938939,0.331580,3.547762
image_average,3840x2160.png,0,3840,2160,3,128,dynamic,0,0,2.281327,0.941190,0.332594,3.555111
----------------
iteration,7680x4320.png,1,7680,4320,3,128,dynamic,0,0,9.113100,4.602333,1.238289,14.953722
iteration,7680x4320.png,2,7680,4320,3,128,dynamic,0,0,9.119942,4.603573,1.241230,14.964745
iteration,7680x4320.png,3,7680,4320,3,128,dynamic,0,0,9.124204,4.591423,1.238224,14.953851
iteration,7680x4320.png,4,7680,4320,3,128,dynamic,0,0,9.120436,4.585100,1.242964,14.948500
iteration,7680x4320.png,5,7680,4320,3,128,dynamic,0,0,9.133331,4.584023,1.245418,14.962771
image_average,7680x4320.png,0,7680,4320,3,128,dynamic,0,0,9.122202,4.593290,1.241225,14.956718
----------------
overall_average,ALL_IMAGES,0,0,0,0,128,dynamic,0,0,2.470025,1.232453,0.337166,4.039644
