record,image,iteration,width,height,channels,seams,mode,batch_size,strip_height,energy_s,seam_s,remove_s,total_s
iteration,720x480.png,1,720,480,3,128,dynamic,0,0,0.149633,0.090750,0.044985,0.285369
iteration,720x480.png,2,720,480,3,128,dynamic,0,0,0.149824,0.086248,0.044874,0.280946
iteration,720x480.png,3,720,480,3,128,dynamic,0,0,0.149514,0.085827,0.044868,0.280210
iteration,720x480.png,4,720,480,3,128,dynamic,0,0,0.149654,0.089492,0.046746,0.285891
iteration,720x480.png,5,720,480,3,128,dynamic,0,0,0.150483,0.091495,0.048028,0.290006
image_average,720x480.png,0,720,480,3,128,dynamic,0,0,0.149822,0.088763,0.045900,0.284484
----------------
iteration,1024x768.png,1,1024,768,3,128,dynamic,0,0,0.344767,0.191999,0.096101,0.632867
iteration,1024x768.png,2,1024,768,3,128,dynamic,0,0,0.342289,0.185257,0.095941,0.623488
iteration,1024x768.png,3,1024,768,3,128,dynamic,0,0,0.341728,0.186070,0.095821,0.623619
iteration,1024x768.png,4,1024,768,3,128,dynamic,0,0,0.341625,0.185506,0.095751,0.622882
iteration,1024x768.png,5,1024,768,3,128,dynamic,0,0,0.341782,0.184993,0.095906,0.622681
image_average,1024x768.png,0,1024,768,3,128,dynamic,0,0,0.342438,0.186765,0.095904,0.625107
----------------
iteration,1920x1200.png,1,1920,1200,3,128,dynamic,0,0,1.016075,0.377197,0.230378,1.623650
iteration,1920x1200.png,2,1920,1200,3,128,dynamic,0,0,1.012728,0.373306,0.231781,1.617814
iteration,1920x1200.png,3,1920,1200,3,128,dynamic,0,0,1.009305,0.372457,0.231141,1.612902
iteration,1920x1200.png,4,1920,1200,3,128,dynamic,0,0,1.017426,0.372549,0.230793,1.620768
iteration,1920x1200.png,5,1920,1200,3,128,dynamic,0,0,1.016284,0.372436,0.230524,1.619244
image_average,1920x1200.png,0,1920,1200,3,128,dynamic,0,0,1.014363,0.373589,0.230923,1.618876
----------------
iteration,3840x2160.png,1,3840,2160,3,128,dynamic,0,0,3.691086,0.980380,0.290818,4.962284
iteration,3840x2160.png,2,3840,2160,3,128,dynamic,0,0,3.690089,0.976241,0.282766,4.949096
iteration,3840x2160.png,3,3840,2160,3,128,dynamic,0,0,3.693371,0.974000,0.281465,4.948835
iteration,3840x2160.png,4,3840,2160,3,128,dynamic,0,0,3.695785,0.977171,0.280585,4.953541
iteration,3840x2160.png,5,3840,2160,3,128,dynamic,0,0,3.697569,0.977861,0.287574,4.963004
image_average,3840x2160.png,0,3840,2160,3,128,dynamic,0,0,3.693580,0.977130,0.284641,4.955352
----------------
iteration,7680x4320.png,1,7680,4320,3,128,dynamic,0,0,14.431506,4.498196,1.276388,20.206091
iteration,7680x4320.png,2,7680,4320,3,128,dynamic,0,0,14.432173,4.662290,1.352056,20.446519
iteration,7680x4320.png,3,7680,4320,3,128,dynamic,0,0,14.416893,4.458585,1.253688,20.129166
iteration,7680x4320.png,4,7680,4320,3,128,dynamic,0,0,14.427031,4.502124,1.254070,20.183225
iteration,7680x4320.png,5,7680,4320,3,128,dynamic,0,0,14.508305,4.517352,1.256694,20.282351
image_average,7680x4320.png,0,7680,4320,3,128,dynamic,0,0,14.443181,4.527709,1.278579,20.249470
----------------
overall_average,ALL_IMAGES,0,0,0,0,128,dynamic,0,0,3.928677,1.230791,0.387190,5.546658
