record,image,iteration,width,height,channels,seams,mode,batch_size,strip_height,energy_s,seam_s,remove_s,total_s
iteration,720x480.png,1,720,480,3,128,dynamic,0,0,0.095624,0.090969,0.013785,0.200378
iteration,720x480.png,2,720,480,3,128,dynamic,0,0,0.095202,0.087692,0.013858,0.196752
iteration,720x480.png,3,720,480,3,128,dynamic,0,0,0.094966,0.086960,0.013827,0.195752
iteration,720x480.png,4,720,480,3,128,dynamic,0,0,0.095258,0.086915,0.013833,0.196006
iteration,720x480.png,5,720,480,3,128,dynamic,0,0,0.095090,0.086988,0.013929,0.196008
image_average,720x480.png,0,720,480,3,128,dynamic,0,0,0.095228,0.087905,0.013847,0.196979
----------------
iteration,1024x768.png,1,1024,768,3,128,dynamic,0,0,0.218275,0.179228,0.029553,0.427055
iteration,1024x768.png,2,1024,768,3,128,dynamic,0,0,0.216735,0.175262,0.029240,0.421236
iteration,1024x768.png,3,1024,768,3,128,dynamic,0,0,0.216970,0.176319,0.029293,0.422582
iteration,1024x768.png,4,1024,768,3,128,dynamic,0,0,0.216810,0.176040,0.029265,0.422116
iteration,1024x768.png,5,1024,768,3,128,dynamic,0,0,0.216908,0.175809,0.029320,0.422037
image_average,1024x768.png,0,1024,768,3,128,dynamic,0,0,0.217140,0.176532,0.029334,0.423005
----------------
iteration,1920x1200.png,1,1920,1200,3,128,dynamic,0,0,0.633640,0.364749,0.068324,1.066713
iteration,1920x1200.png,2,1920,1200,3,128,dynamic,0,0,0.633570,0.361829,0.068049,1.063448
iteration,1920x1200.png,3,1920,1200,3,128,dynamic,0,0,0.634187,0.362903,0.068247,1.065337
iteration,1920x1200.png,4,1920,1200,3,128,dynamic,0,0,0.633720,0.361618,0.067885,1.063223
iteration,1920x1200.png,5,1920,1200,3,128,dynamic,0,0,0.633903,0.361422,0.068408,1.063733
image_average,1920x1200.png,0,1920,1200,3,128,dynamic,0,0,0.633804,0.362504,0.068182,1.064491
----------------
iteration,3840x2160.png,1,3840,2160,3,128,dynamic,0,0,2.281789,0.949452,0.334900,3.566141
iteration,3840x2160.png,2,3840,2160,3,128,dynamic,0,0,2.280477,0.939757,0.334504,3.554738
iteration,3840x2160.png,3,3840,2160,3,128,dynamic,0,0,2.281265,0.939785,0.336476,3.557525
iteration,3840x2160.png,4,3840,2160,3,128,dynamic,0,0,2.286383,0.940143,0.338160,3.564686
iteration,3840x2160.png,5,3840,2160,3,128,dynamic,0,0,2.280380,0.939077,0.338166,3.557622
image_average,3840x2160.png,0,3840,2160,3,128,dynamic,0,0,2.282059,0.941643,0.336441,3.560143
----------------
iteration,7680x4320.png,1,7680,4320,3,128,dynamic,0,0,9.195294,4.615279,1.238551,15.049125
iteration,7680x4320.png,2,7680,4320,3,128,dynamic,0,0,9.160596,4.601988,1.236818,14.999403
iteration,7680x4320.png,3,7680,4320,3,128,dynamic,0,0,9.140167,4.593135,1.235040,14.968343
iteration,7680x4320.png,4,7680,4320,3,128,dynamic,0,0,9.171458,4.599844,1.239222,15.010525
iteration,7680x4320.png,5,7680,4320,3,128,dynamic,0,0,9.192498,4.594418,1.236573,15.023489
image_average,7680x4320.png,0,7680,4320,3,128,dynamic,0,0,9.172003,4.600933,1.237241,15.010177
----------------
overall_average,ALL_IMAGES,0,0,0,0,128,dynamic,0,0,2.480047,1.233903,0.337009,4.050959
