record,image,iteration,width,height,channels,seams,mode,batch_size,strip_height,energy_s,seam_s,remove_s,total_s
iteration,720x480.png,1,720,480,3,128,dynamic,0,0,0.121705,0.084049,0.016540,0.222294
iteration,720x480.png,2,720,480,3,128,dynamic,0,0,0.121195,0.081012,0.016848,0.219054
iteration,720x480.png,3,720,480,3,128,dynamic,0,0,0.122217,0.080423,0.016930,0.219570
iteration,720x480.png,4,720,480,3,128,dynamic,0,0,0.122160,0.079941,0.016709,0.218811
iteration,720x480.png,5,720,480,3,128,dynamic,0,0,0.122562,0.080513,0.016784,0.219858
image_average,720x480.png,0,720,480,3,128,dynamic,0,0,0.121968,0.081188,0.016762,0.219917
----------------
iteration,1024x768.png,1,1024,768,3,128,dynamic,0,0,0.243981,0.173065,0.035529,0.452576
iteration,1024x768.png,2,1024,768,3,128,dynamic,0,0,0.244873,0.168713,0.035796,0.449382
iteration,1024x768.png,3,1024,768,3,128,dynamic,0,0,0.244660,0.167197,0.036039,0.447896
iteration,1024x768.png,4,1024,768,3,128,dynamic,0,0,0.244567,0.168165,0.036203,0.448935
iteration,1024x768.png,5,1024,768,3,128,dynamic,0,0,0.241885,0.169187,0.035822,0.446893
image_average,1024x768.png,0,1024,768,3,128,dynamic,0,0,0.243993,0.169265,0.035878,0.449136
----------------
iteration,1920x1200.png,1,1920,1200,3,128,dynamic,0,0,0.649407,0.344845,0.111407,1.105660
iteration,1920x1200.png,2,1920,1200,3,128,dynamic,0,0,0.660912,0.342406,0.109007,1.112325
iteration,1920x1200.png,3,1920,1200,3,128,dynamic,0,0,0.663942,0.344526,0.110318,1.118786
iteration,1920x1200.png,4,1920,1200,3,128,dynamic,0,0,0.660143,0.343846,0.110535,1.114524
iteration,1920x1200.png,5,1920,1200,3,128,dynamic,0,0,0.651693,0.342272,0.108737,1.102703
image_average,1920x1200.png,0,1920,1200,3,128,dynamic,0,0,0.657220,0.343579,0.110001,1.110800
----------------
iteration,3840x2160.png,1,3840,2160,3,128,dynamic,0,0,2.326800,0.972382,0.365173,3.664354
iteration,3840x2160.png,2,3840,2160,3,128,dynamic,0,0,2.327689,0.962777,0.371393,3.661859
iteration,3840x2160.png,3,3840,2160,3,128,dynamic,0,0,2.314187,0.938791,0.341372,3.594350
iteration,3840x2160.png,4,3840,2160,3,128,dynamic,0,0,2.345105,0.958088,0.386622,3.689815
iteration,3840x2160.png,5,3840,2160,3,128,dynamic,0,0,2.311016,0.934031,0.361988,3.607035
image_average,3840x2160.png,0,3840,2160,3,128,dynamic,0,0,2.324959,0.953214,0.365310,3.643483
----------------
iteration,7680x4320.png,1,7680,4320,3,128,dynamic,0,0,9.155553,4.625562,1.421900,15.203015
iteration,7680x4320.png,2,7680,4320,3,128,dynamic,0,0,9.161425,4.641533,1.406543,15.209501
iteration,7680x4320.png,3,7680,4320,3,128,dynamic,0,0,9.257381,4.607229,1.408929,15.273539
iteration,7680x4320.png,4,7680,4320,3,128,dynamic,0,0,9.288038,4.620101,1.405325,15.313464
iteration,7680x4320.png,5,7680,4320,3,128,dynamic,0,0,9.290819,4.629029,1.416515,15.336363
image_average,7680x4320.png,0,7680,4320,3,128,dynamic,0,0,9.230643,4.624691,1.411842,15.267176
----------------
overall_average,ALL_IMAGES,0,0,0,0,128,dynamic,0,0,2.515757,1.234387,0.387959,4.138102
